# T < 10 MeV is a common calculation; we use data from http://www.laine.itp.unibe.ch/eos15/
# Data for 10 MeV <= T <= 100 GeV is from arXiv:1606.07494
# Data for T >= 125 GeV is from arXiv:1503.04935 (http://www.laine.itp.unibe.ch/eos15/)
# -----------------------
# log10(T/MeV) g_* g_*s
-2.0000 3.3708 3.9177
-1.9956 3.3708 3.9177
-1.9912 3.3708 3.9177
-1.9868 3.3708 3.9177
-1.9824 3.3708 3.9177
-1.9780 3.3708 3.9177
-1.9736 3.3708 3.9177
-1.9692 3.3708 3.9177
-1.9648 3.3708 3.9177
-1.9604 3.3708 3.9176
-1.9560 3.3708 3.9176
-1.9515 3.3708 3.9176
-1.9471 3.3708 3.9176
-1.9427 3.3708 3.9176
-1.9383 3.3708 3.9176
-1.9339 3.3708 3.9176
-1.9295 3.3708 3.9176
-1.9251 3.3708 3.9176
-1.9207 3.3708 3.9176
-1.9163 3.3708 3.9176
-1.9119 3.3707 3.9176
-1.9075 3.3707 3.9176
-1.9031 3.3707 3.9176
-1.8987 3.3707 3.9176
-1.8943 3.3707 3.9176
-1.8899 3.3707 3.9176
-1.8855 3.3707 3.9176
-1.8811 3.3707 3.9176
-1.8767 3.3707 3.9176
-1.8723 3.3707 3.9176
-1.8679 3.3707 3.9176
-1.8635 3.3707 3.9176
-1.8590 3.3707 3.9176
-1.8546 3.3707 3.9176
-1.8502 3.3707 3.9176
-1.8458 3.3707 3.9176
-1.8414 3.3707 3.9176
-1.8370 3.3707 3.9176
-1.8326 3.3707 3.9176
-1.8282 3.3708 3.9176
-1.8238 3.3708 3.9176
-1.8194 3.3708 3.9176
-1.8150 3.3708 3.9176
-1.8106 3.3708 3.9176
-1.8062 3.3708 3.9176
-1.8018 3.3708 3.9176
-1.7974 3.3708 3.9176
-1.7930 3.3708 3.9176
-1.7886 3.3708 3.9176
-1.7842 3.3708 3.9176
-1.7798 3.3708 3.9176
-1.7754 3.3708 3.9176
-1.7710 3.3708 3.9176
-1.7665 3.3708 3.9176
-1.7621 3.3708 3.9177
-1.7577 3.3708 3.9177
-1.7533 3.3708 3.9177
-1.7489 3.3708 3.9177
-1.7445 3.3708 3.9177
-1.7401 3.3708 3.9177
-1.7357 3.3708 3.9177
-1.7313 3.3708 3.9177
-1.7269 3.3708 3.9177
-1.7225 3.3708 3.9177
-1.7181 3.3708 3.9177
-1.7137 3.3708 3.9177
-1.7093 3.3708 3.9177
-1.7049 3.3708 3.9177
-1.7005 3.3708 3.9177
-1.6961 3.3708 3.9177
-1.6917 3.3708 3.9177
-1.6873 3.3708 3.9177
-1.6829 3.3709 3.9177
-1.6785 3.3709 3.9177
-1.6740 3.3709 3.9177
-1.6696 3.3709 3.9177
-1.6652 3.3709 3.9177
-1.6608 3.3709 3.9177
-1.6564 3.3709 3.9177
-1.6520 3.3709 3.9177
-1.6476 3.3709 3.9177
-1.6432 3.3709 3.9177
-1.6388 3.3709 3.9177
-1.6344 3.3709 3.9177
-1.6300 3.3709 3.9177
-1.6256 3.3709 3.9177
-1.6212 3.3709 3.9177
-1.6168 3.3709 3.9178
-1.6124 3.3709 3.9178
-1.6080 3.3709 3.9178
-1.6036 3.3709 3.9178
-1.5992 3.3709 3.9178
-1.5948 3.3709 3.9178
-1.5904 3.3709 3.9178
-1.5860 3.3709 3.9178
-1.5815 3.3709 3.9178
-1.5771 3.3709 3.9178
-1.5727 3.3709 3.9178
-1.5683 3.3709 3.9178
-1.5639 3.3709 3.9178
-1.5595 3.3709 3.9178
-1.5551 3.3709 3.9178
-1.5507 3.3709 3.9178
-1.5463 3.3709 3.9178
-1.5419 3.3709 3.9178
-1.5375 3.3709 3.9178
-1.5331 3.3709 3.9178
-1.5287 3.3709 3.9178
-1.5243 3.3709 3.9178
-1.5199 3.3709 3.9178
-1.5155 3.3709 3.9178
-1.5111 3.3709 3.9178
-1.5067 3.3709 3.9178
-1.5023 3.3709 3.9178
-1.4979 3.3709 3.9178
-1.4935 3.3709 3.9178
-1.4890 3.3710 3.9178
-1.4846 3.3710 3.9178
-1.4802 3.3710 3.9179
-1.4758 3.3710 3.9179
-1.4714 3.3711 3.9179
-1.4670 3.3711 3.9180
-1.4626 3.3712 3.9180
-1.4582 3.3713 3.9181
-1.4538 3.3714 3.9182
-1.4494 3.3715 3.9183
-1.4450 3.3716 3.9184
-1.4406 3.3717 3.9185
-1.4362 3.3718 3.9186
-1.4318 3.3720 3.9187
-1.4274 3.3721 3.9189
-1.4230 3.3723 3.9190
-1.4186 3.3725 3.9192
-1.4142 3.3727 3.9194
-1.4098 3.3730 3.9196
-1.4054 3.3732 3.9199
-1.4010 3.3735 3.9201
-1.3965 3.3738 3.9204
-1.3921 3.3741 3.9207
-1.3877 3.3745 3.9210
-1.3833 3.3749 3.9213
-1.3789 3.3753 3.9217
-1.3745 3.3757 3.9221
-1.3701 3.3762 3.9226
-1.3657 3.3768 3.9231
-1.3613 3.3774 3.9236
-1.3569 3.3780 3.9242
-1.3525 3.3788 3.9249
-1.3481 3.3796 3.9256
-1.3437 3.3804 3.9264
-1.3393 3.3814 3.9273
-1.3349 3.3824 3.9282
-1.3305 3.3835 3.9293
-1.3261 3.3847 3.9304
-1.3217 3.3860 3.9316
-1.3173 3.3874 3.9328
-1.3129 3.3889 3.9342
-1.3085 3.3906 3.9357
-1.3040 3.3923 3.9373
-1.2996 3.3941 3.9390
-1.2952 3.3961 3.9408
-1.2908 3.3982 3.9427
-1.2864 3.4004 3.9448
-1.2820 3.4028 3.9470
-1.2776 3.4054 3.9493
-1.2732 3.4081 3.9518
-1.2688 3.4110 3.9545
-1.2644 3.4141 3.9573
-1.2600 3.4174 3.9603
-1.2556 3.4209 3.9636
-1.2512 3.4246 3.9670
-1.2468 3.4285 3.9706
-1.2424 3.4327 3.9745
-1.2380 3.4371 3.9785
-1.2336 3.4418 3.9829
-1.2292 3.4467 3.9874
-1.2248 3.4520 3.9922
-1.2204 3.4574 3.9973
-1.2160 3.4632 4.0026
-1.2115 3.4693 4.0083
-1.2071 3.4757 4.0142
-1.2027 3.4824 4.0204
-1.1983 3.4895 4.0269
-1.1939 3.4969 4.0338
-1.1895 3.5047 4.0410
-1.1851 3.5128 4.0485
-1.1807 3.5213 4.0564
-1.1763 3.5302 4.0646
-1.1719 3.5395 4.0733
-1.1675 3.5492 4.0823
-1.1631 3.5594 4.0917
-1.1587 3.5700 4.1015
-1.1543 3.5810 4.1117
-1.1499 3.5925 4.1224
-1.1455 3.6044 4.1335
-1.1411 3.6169 4.1450
-1.1367 3.6298 4.1570
-1.1323 3.6432 4.1695
-1.1279 3.6571 4.1824
-1.1235 3.6715 4.1958
-1.1190 3.6865 4.2097
-1.1146 3.7019 4.2240
-1.1102 3.7179 4.2389
-1.1058 3.7345 4.2543
-1.1014 3.7516 4.2702
-1.0970 3.7693 4.2867
-1.0926 3.7875 4.3036
-1.0882 3.8064 4.3211
-1.0838 3.8258 4.3392
-1.0794 3.8458 4.3578
-1.0750 3.8664 4.3769
-1.0706 3.8876 4.3966
-1.0662 3.9094 4.4169
-1.0618 3.9318 4.4377
-1.0574 3.9548 4.4591
-1.0530 3.9784 4.4811
-1.0486 4.0026 4.5036
-1.0442 4.0275 4.5267
-1.0398 4.0530 4.5504
-1.0354 4.0791 4.5747
-1.0310 4.1059 4.5995
-1.0265 4.1332 4.6250
-1.0221 4.1612 4.6510
-1.0177 4.1898 4.6775
-1.0133 4.2190 4.7047
-1.0089 4.2488 4.7324
-1.0045 4.2793 4.7607
-1.0001 4.3104 4.7895
-0.9957 4.3421 4.8189
-0.9913 4.3743 4.8489
-0.9869 4.4072 4.8794
-0.9825 4.4407 4.9104
-0.9781 4.4748 4.9420
-0.9737 4.5095 4.9742
-0.9693 4.5447 5.0068
-0.9649 4.5805 5.0400
-0.9605 4.6169 5.0737
-0.9561 4.6538 5.1079
-0.9517 4.6913 5.1426
-0.9473 4.7293 5.1778
-0.9429 4.7679 5.2134
-0.9385 4.8069 5.2496
-0.9340 4.8465 5.2862
-0.9296 4.8866 5.3232
-0.9252 4.9271 5.3607
-0.9208 4.9681 5.3986
-0.9164 5.0096 5.4369
-0.9120 5.0516 5.4756
-0.9076 5.0940 5.5147
-0.9032 5.1368 5.5542
-0.8988 5.1800 5.5941
-0.8944 5.2237 5.6343
-0.8900 5.2677 5.6749
-0.8856 5.3121 5.7158
-0.8812 5.3568 5.7570
-0.8768 5.4019 5.7985
-0.8724 5.4473 5.8403
-0.8680 5.4930 5.8824
-0.8636 5.5391 5.9247
-0.8592 5.5854 5.9673
-0.8548 5.6320 6.0102
-0.8504 5.6788 6.0532
-0.8460 5.7259 6.0964
-0.8415 5.7732 6.1399
-0.8371 5.8207 6.1835
-0.8327 5.8684 6.2273
-0.8283 5.9163 6.2712
-0.8239 5.9643 6.3152
-0.8195 6.0125 6.3594
-0.8151 6.0608 6.4037
-0.8107 6.1092 6.4481
-0.8063 6.1577 6.4925
-0.8019 6.2063 6.5370
-0.7975 6.2549 6.5816
-0.7931 6.3036 6.6262
-0.7887 6.3524 6.6708
-0.7843 6.4011 6.7154
-0.7799 6.4499 6.7600
-0.7755 6.4986 6.8046
-0.7711 6.5474 6.8492
-0.7667 6.5961 6.8937
-0.7623 6.6447 6.9381
-0.7579 6.6932 6.9825
-0.7535 6.7417 7.0268
-0.7490 6.7901 7.0710
-0.7446 6.8384 7.1151
-0.7402 6.8865 7.1591
-0.7358 6.9346 7.2030
-0.7314 6.9824 7.2467
-0.7270 7.0301 7.2903
-0.7226 7.0777 7.3337
-0.7182 7.1250 7.3769
-0.7138 7.1722 7.4199
-0.7094 7.2191 7.4628
-0.7050 7.2659 7.5055
-0.7006 7.3124 7.5479
-0.6962 7.3586 7.5901
-0.6918 7.4046 7.6321
-0.6874 7.4504 7.6739
-0.6830 7.4959 7.7154
-0.6786 7.5411 7.7566
-0.6742 7.5860 7.7976
-0.6698 7.6306 7.8383
-0.6654 7.6749 7.8788
-0.6610 7.7189 7.9189
-0.6565 7.7626 7.9588
-0.6521 7.8059 7.9984
-0.6477 7.8489 8.0377
-0.6433 7.8916 8.0766
-0.6389 7.9339 8.1153
-0.6345 7.9759 8.1536
-0.6301 8.0175 8.1917
-0.6257 8.0588 8.2294
-0.6213 8.0997 8.2667
-0.6169 8.1402 8.3037
-0.6125 8.1803 8.3404
-0.6081 8.2201 8.3768
-0.6037 8.2595 8.4128
-0.5993 8.2984 8.4484
-0.5949 8.3370 8.4837
-0.5905 8.3752 8.5186
-0.5861 8.4130 8.5532
-0.5817 8.4504 8.5874
